ï»¿dummy        {'LANG:FI', 'dummy'}
[-t]            {'PHI:PER:2', 'PHI:DET:DEF', 'PHI:HUM:HUM', 'PHI', 'inflectional', 'PHI:NUM:SG', 'LANG:FI'}
[-V]            {'PHI', 'PHI:PER:3', 'inflectional', 'PHI:NUM:SG', 'LANG:FI'}
[-mme]          {'PHI:DET:DEF', 'PHI:HUM:HUM', 'PHI:PER:1', 'PHI', 'PHI:NUM:PL', 'inflectional', 'LANG:FI'}
[-mme]          {'PHI:DET:DEF', 'PHI:HUM:HUM', 'PHI:PER:1', 'PHI:NUM:PL', 'inflectional', 'LANG:FI'}
[-tte]          {'PHI:PER:2', 'PHI:DET:DEF', 'PHI:HUM:HUM', 'PHI', 'PHI:NUM:PL', 'inflectional', 'LANG:FI'}
[-vat]          {'PHI', 'PHI:NUM:PL', 'PHI:PER:3', 'inflectional', 'LANG:FI'}
[-ni]           {'PHI:DET:DEF', 'PHI:HUM:HUM', 'PHI', 'PHI:PER:1', 'inflectional', 'PHI:NUM:SG', 'LANG:FI'}
[-si]           {'PHI:PER:2', 'PHI:DET:DEF', 'PHI:HUM:HUM', 'PHI', 'inflectional', 'PHI:NUM:SG', 'LANG:FI'}
[-nsa]          {'PHI', 'PHI:PER:3', 'inflectional', 'LANG:FI'}
[-an]           {'PHI', 'PHI:PER:3', 'inflectional', 'LANG:FI'}
[-nne]          {'PHI:PER:2', 'PHI:DET:DEF', 'PHI:HUM:HUM', 'PHI:NUM:PL', 'inflectional', 'LANG:FI'}
[-s]            {'PHI', 'PHI:GEN:F', 'LANG:EN', 'PHI:GEN:M', 'PHI:PER:3', 'inflectional', 'PHI:NUM:SG'}
[-0]            {'PHI:DET:DEF', 'LANG:EN', 'PHI:NUM:PL', 'PHI:PER:1', 'inflectional', 'PHI:NUM:SG', 'PHI:GEN:N', 'PHI', 'PHI:PER:3', 'PHI:PER:2'}
[-o]            {'PHI:DET:DEF', 'PHI:HUM:HUM', 'LANG:IT', 'PHI', 'PHI:PER:1', 'inflectional', 'PHI:NUM:SG'}
[-i]            {'PHI:PER:2', 'PHI:DET:DEF', 'PHI:HUM:HUM', 'LANG:IT', 'PHI', 'inflectional', 'PHI:NUM:SG'}
[-a]            {'PHI:DET:DEF', 'LANG:IT', 'PHI', 'PHI:PER:3', 'inflectional', 'PHI:NUM:SG'}
[-e]            {'PHI:DET:DEF', 'LANG:IT', 'PHI', 'PHI:PER:3', 'inflectional', 'PHI:NUM:SG'}
[-iamo]         {'PHI:DET:DEF', 'PHI:HUM:HUM', 'LANG:IT', 'PHI:PER:1', 'PHI', 'PHI:NUM:PL', 'inflectional'}
[-te]           {'PHI:PER:2', 'PHI:DET:DEF', 'PHI:HUM:HUM', 'LANG:IT', 'PHI', 'PHI:NUM:PL', 'inflectional'}
[-no]           {'PHI:DET:DEF', 'LANG:IT', 'PHI', 'PHI:NUM:PL', 'PHI:PER:3', 'inflectional'}
[-nom]          {'NOM', 'adjoinable', 'TAIL:FIN,ARG,VAL', 'inflectional', 'LANG:FI'}
[-par]          {'PAR', 'adjoinable', 'TAIL:ARG,-VAL', 'inflectional', 'LANG:FI'}
[-gen]          {'GEN', 'TAIL:INF,ARG', '-adjoinable', 'inflectional', 'LANG:FI'}
[-n_acc]        {'adjoinable', 'TAIL:PHI', 'LANG:FI', 'n-ACC', 'inflectional', 'TAIL:ARG,ASP:BOUNDED', 'TAIL:*POL:NEG'}
[-t_acc]        {'adjoinable', 'TAIL:ARG,ASP:BOUNDED', 'LANG:FI', 'inflectional', 't-ACC', 'TAIL:*POL:NEG'}
[-0_acc]        {'adjoinable', 'TAIL:ARG,ASP:BOUNDED', 'TAIL:*PHI', 'LANG:FI', 'inflectional', '0_ACC', 'TAIL:*POL:NEG'}
asp             {'ASP:BOUNDED', 'inflectional', 'LANG:FI'}
a'              {'LF:A', 'a', 'LANG:X', 'PF:a'}
b'              {'PF:b', 'LF:B', 'b', 'LANG:X'}
b''             {'PF:b', 'b', 'LF:B', '-COMP:c', 'LANG:FI'}
c''             {'LF:C', 'SPEC:a', 'c', 'PF:c', 'LANG:FI'}
c'              {'LF:C', 'LANG:X', 'c', 'PF:c'}
d'              {'LANG:', 'PF:d', 'd', 'LF:D'}
a''             ['LANG:FI']
x'              {'PF:x', 'LANG:X', 'LF:X', 'x'}
y'              {'LANG:X', 'PF:y', 'LF:Y', 'y'}
z'              {'PF:x', 'LF:Z', 'z', 'LANG:X'}
John'           {'LF:John', "N'", 'PF:John', 'LANG:X'}
admires'        {'PF:admires', 'LANG:X', "V'", 'LF:admires'}
admires''       {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'LF:admires', 'PF:admires', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', '-VAL', 'V', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
Mary'           {'LF:mary', "N'", 'LANG:X', 'PF:Mary'}
T/fin           {'-SPEC:FORCE', '-SPEC:V', '!PROBE:V', 'PHI:DET:_', '-SPEC:T/fin', 'FIN', 'SPEC:*', 'VAL', 'COMP:v', 'SPEC:D', 'PF:T', '-SPEC:N', '-SPEC:C/fin', 'PHI:NUM:_', '!SPEC:*', 'T', 'LF:T', 'ARG', 'SPEC:TO/inf', 'T/fin', 'LANG:FI', 'COMP:D', 'COMP:V', '!COMP:*', 'COMP:T/prt', '-SPEC:v', 'PHI:PER:_'}
v               {'!PROBE:V', 'ARG', 'PHI:DET:_', 'PF:v', 'LF:v', 'PHI:PER:_', 'LANG:FI', '-VAL', 'COMP:V', '!COMP:*', 'SPEC:D', '-SPEC:N', 'PHI:NUM:_', 'ASP', 'v'}
v*              {'LF:v*', 'v*', '!PROBE:V', 'ARG', 'PHI:DET:_', 'PF:v*', 'PHI:PER:_', 'LANG:FI', '-VAL', 'COMP:V', 'SEM:external', '!COMP:*', 'SPEC:D', '-SPEC:N', 'PHI:NUM:_', 'ASP', 'v'}
C/fin           {'-SPEC:T/fin', 'SPEC:*', 'C', 'VAL', '-SPEC:C/fin', '-SPEC:N', '-COMP:C/fin', '!PROBE:FIN', '-ARG', 'C/fin', 'PF:C', 'LF:C/fin', 'LANG:FI', '-COMP:T/prt', '!COMP:*', 'COMP:T/fin', 'COMP:Neg/fin', 'FIN'}
T               {'-SPEC:FORCE', '-SPEC:V', '!PROBE:V', 'PHI:DET:_', '-SPEC:T/fin', 'SPEC:*', 'COMP:v', 'VAL', 'SPEC:D', 'PF:T', '-SPEC:N', 'PHI:NUM:_', '!SPEC:*', 'T', 'LF:T', 'ARG', 'LANG:FI', 'COMP:D', 'COMP:V', '!COMP:*', '-COMP:NEG', 'COMP:T/prt', 'FIN', 'PHI:PER:_'}
T/prt           {'-SPEC:FORCE', '-SPEC:V', '!PROBE:V', 'PHI:DET:_', '-SPEC:T/fin', 'SPEC:*', 'VAL', 'COMP:v', 'SPEC:D', '-SPEC:N', 'PHI:NUM:_', '!SPEC:*', 'T', 'ARG', 'PHI:PER:_', 'LANG:FI', 'LF:T/prt', 'COMP:D', 'COMP:V', '!COMP:*', '-COMP:NEG', 'COMP:T/prt', 'FIN', 'T/prt', 'PF:T/prt'}
a0              {'LF:A', 'SPEC:*', 'COMP:0', 'LANG:FI', 'PF:A', 'adjoinable', 'A', 'TAIL:D', '-SPEC:A'}
n               {'-COMP:N', 'N', '-SPEC:V', '-SPEC:T/fin', 'COMP:R/D', 'INF', 'VAL', 'PHI:NUM:_', 'COMP:R', 'ARG', '-COMP:WH', '-COMP:V', 'COMP:P', '-COMP:v', 'PF:n', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:ADV', 'PHI:DET:_', 'COMP:0', 'SPEC:*', 'COMP:v', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '!SPEC:*', '-SPEC:uWH', '!SPEC:D', 'SPEC:A', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:V', 'n', 'COMP:uR', '!COMP:*', '-COMP:AUX', '-SPEC:INF', 'PHI:PER:_', 'LF:n', '-COMP:ADV'}
impass          {'PF:impass', '!PROBE:V', 'ARG', 'LF:impass', 'PHI:DET:_', 'PHI:PER:_', 'LANG:FI', '-VAL', 'COMP:V', '!COMP:*', 'SPEC:D', '-SPEC:N', 'PHI:NUM:_', 'ASP', 'v'}
cau             {'!PROBE:V', 'ARG', 'PHI:DET:_', 'PF:Cau', 'LF:v/Cause', 'PHI:PER:_', 'LANG:FI', '-VAL', 'COMP:V', '!COMP:*', 'SPEC:D', '-SPEC:N', 'PHI:NUM:_', 'ASP', 'v'}
INF             {'-SPEC:V', '-SPEC:T/fin', '-COMP:C/fin', '-COMP:FORCE', 'LANG:FI', 'INF', 'COMP:V', 'COMP:v', '!COMP:*', 'LF:INF', 'PF:INF'}
prtcpl          {'-SPEC:FORCE', '-SPEC:V', '!PROBE:V', 'PHI:DET:_', '-SPEC:T/fin', '-COMP:FORCE', 'SPEC:*', 'INF', 'VAL', 'COMP:v', 'SPEC:D', '-SPEC:N', 'PHI:NUM:_', '-COMP:C/fin', '!SPEC:*', 'T', 'ARG', 'PHI:PER:_', 'LF:T/prt', 'LANG:FI', 'COMP:D', 'COMP:V', '!COMP:*', '-COMP:NEG', 'COMP:T/prt', 'FIN', 'T/prt', 'PF:T/prt'}
TO/inf          {'LF:TO/inf', '-SPEC:V', '?ARG', '-SPEC:T/fin', '-COMP:FORCE', 'PF:TO/inf', 'INF', 'COMP:v', 'adjoinable', '-COMP:C/fin', 'TO/inf', 'LANG:FI', '-VAL', 'COMP:V', '!COMP:*', '-SPEC:v'}
A/inf           {'-SPEC:V', '?ARG', '-SPEC:T/fin', 'PF:A/inf', '-COMP:FORCE', 'SPEC:*', 'INF', '?VAL', 'COMP:v', 'LF:A/inf', '-SPEC:Neg/fin', '-COMP:C/fin', 'A/inf', 'LANG:FI', 'COMP:V', '!COMP:*'}
ARE/inf         {'PF:are', '-SPEC:V', '?ARG', 'LF:ARE/inf', '-SPEC:T/fin', '-COMP:FORCE', 'INF', 'LANG:FI', 'VAL', 'COMP:V', 'adjoinable', 'COMP:v', 'ARE/inf', '!COMP:*', '-COMP:C/fin'}
ESSA/inf        {'-SPEC:FORCE', '-SPEC:V', '?ARG', '-SPEC:T/fin', '-COMP:FORCE', 'SPEC:*', 'INF', '?VAL', 'COMP:v', '-SPEC:Neg/fin', '-SPEC:N', 'adjoinable', '-COMP:C/fin', 'LF:while', 'LANG:FI', 'ESSA/inf', 'COMP:V', '!COMP:*', 'ADV', 'PF:essa'}
TUA/inf         {'TUA/inf', '-SPEC:FORCE', '-SPEC:V', 'PHI:DET:_', '-SPEC:T/fin', '-COMP:FORCE', 'SPEC:*', 'INF', 'PF:tua', 'COMP:v', '-SPEC:Neg/fin', '-SPEC:N', 'adjoinable', 'PHI:NUM:_', '!SPEC:*', '-COMP:C/fin', 'LF:after', 'ARG', 'CAL', 'LANG:FI', 'COMP:V', '!COMP:*', 'ADV', 'PHI:PER:_'}
VA/inf          {'-SPEC:V', 'VA/inf', '?ARG', 'LF:VA', '-SPEC:T/fin', '-COMP:FORCE', 'SPEC:*', 'INF', 'VAL', 'COMP:v', '-SPEC:N', '-COMP:C/fin', 'PF:vAn', 'LANG:FI', 'COMP:V', '!COMP:*'}
MA/ssa          {'-SPEC:FORCE', 'PHI:DET:_', '-SPEC:T/fin', 'SPEC:*', 'COMP:v', '-SPEC:Neg/fin', 'adjoinable', 'PF:massa', '-SPEC:N', 'PHI:NUM:_', 'ARG', 'LF:in_doing', 'LANG:FI', 'COMP:V', 'MA/inf', '-VAL', 'ADV', 'TAIL:V', 'PHI:PER:_'}
MA/tta          {'-SPEC:FORCE', 'ARG', 'PHI:DET:_', '-SPEC:T/fin', 'LF:without_doing', 'SPEC:*', 'LANG:FI', '-VAL', 'MA/inf', '-SPEC:Neg/fin', 'adjoinable', 'ADV', '-SPEC:N', 'PHI:NUM:_', 'PF:matta', 'PHI:PER:_'}
MA/lla          {'-SPEC:FORCE', 'PHI:DET:_', '-SPEC:T/fin', 'SPEC:*', 'COMP:v', '-SPEC:Neg/fin', 'adjoinable', '-SPEC:N', 'PHI:NUM:_', 'PF:malla', 'ARG', 'TAIL:T', 'LANG:FI', 'COMP:V', 'MA/inf', 'LF:by_doing', '-VAL', 'ADV', 'PHI:PER:_'}
E/inf           {'-SPEC:FORCE', '-SPEC:T/fin', 'SPEC:*', 'LANG:FI', '-SPEC:Neg/fin', '-SPEC:N', 'ADV', 'PF:en', 'adjoinable', '-ARG', 'LF:by'}
ndo             {'-SPEC:V', '-SPEC:T/fin', '-COMP:FORCE', 'INF', 'VAL', 'PHI:NUM:_', 'ARG', 'PRG', 'PF:PRG', 'PHI:DET:_', 'LF:ing', 'SPEC:*', 'COMP:v', '-COMP:C/fin', '!SPEC:*', 'LANG:FI', 'COMP:V', '!COMP:*', 'PHI:PER:_'}
BE-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', '-COMP:T', '-SPEC:T/fin', 'SPEC:D', 'PF:BE', 'ASP', '-ARG', 'SPEC:ADV', 'LF:BE', 'SPEC:TO/inf', 'COPULA', 'LANG:FI', '-VAL', '!COMP:*', 'V', '-COMP:V', 'COMP:P'}
D               {'!PROBE:N', '-COMP:T/fin', '-SPEC:V', '-SPEC:C', '-SPEC:T/fin', '-SPEC:MA/lla', 'OP', '-SPEC:Neg/fin', '-SPEC:N', 'adjoinable', 'D', '-ARG', 'LF:D', '-SPEC:P', '-SPEC:D', 'PF:D', 'LANG:FI', '-COMP:D', '!COMP:*', 'COMP:N', '-COMP:uR', '-SPEC:INF'}
P               {'-SPEC:FORCE', '-SPEC:V', '-COMP:N', '-SPEC:C', '-COMP:T/fin', '-SPEC:ADV', 'PHI:DET:_', '-SPEC:T/fin', 'SPEC:*', '-SPEC:Neg/fin', 'adjoinable', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', 'LF:P', '-SPEC:iWH', 'PHI:NUM:_', 'ARG', '-SPEC:iR', '-COMP:uWH', '-SPEC:P', 'P', 'LANG:FI', 'PF:P', '-VAL', '!COMP:*', '-SPEC:INF', '-SPEC:v', 'PHI:PER:_', '-COMP:ADV'}
pro             ['LANG:FI']
pro-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', 'PF:(pro)', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:pro', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', 'PHI', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
cl              {'CL', 'LEFT:T/fin', 'RIGHT:PRG', 'LEFT:D,CL', 'RIGHT:ARE/inf', 'inflectional', 'LANG:FI'}
inc             {'LANG:FI', 'inflectional', 'INCORPORATED'}
sg              {'inflectional', 'PHI:NUM:SG', 'LANG:FI'}
pl              {'PHI:NUM:PL', 'inflectional', 'LANG:FI'}
1p              {'PHI:PER:1', 'inflectional', 'LANG:FI'}
2p              {'PHI:PER:2', 'inflectional', 'LANG:FI'}
3p              {'PHI:PER:3', 'inflectional', 'LANG:FI'}
def             {'PHI:DET:DEF', 'inflectional', 'LANG:FI'}
indef           {'inflectional', 'PHI:DET:INDEF', 'LANG:FI'}
hum             {'PHI:HUM:HUM', 'inflectional', 'LANG:FI'}
nonhum          {'PHI:HUM:NONHUM', 'inflectional', 'LANG:FI'}
m               {'PHI:GEN:M', 'inflectional', 'LANG:FI'}
f               {'inflectional', 'PHI:GEN:F', 'LANG:FI'}
nom             {'TAIL:FIN,!COMP:*,VAL', 'inflectional', 'LANG:FI'}
acc             {'LANG:FI', 'inflectional', 'TAIL:ARG,-VAL'}
uC/op           {'uC/op', 'inflectional', 'LANG:FI'}
wh              {'OP:WH', 'OP:_', 'inflectional', 'LANG:FI'}
wh_             {'FORCE:OP:WH', '!SPEC:OP:_', 'OP:_', 'OP', 'inflectional', 'LANG:FI'}
top             {'OP:TOP', 'inflectional', 'LANG:FI'}
foc             {'OP:FOC', 'inflectional', 'LANG:FI'}
C/op            {'OP:C/OP', 'inflectional', 'LANG:FI'}
rel             {'OP:REL', 'inflectional', 'LANG:FI'}
Q               {'OP:Q', 'OP:WH', 'OP', 'inflectional', 'LANG:FI'}
